"Name","Description","Star","No. Of reviews","Website","Last review","Service focus","Price","Avarage	Est.","Location","Link","Email","Phone number"
"SevenTeams consulting","We know how to create successful outsourcing teams","5.0","1 review","http://www.seventeams.com","SeveTeams creates and provides outsourced teams for IT, office management, and accounting & law needs.","20%  Web Development
20%  Custom Software Development
20%  Staff Augmentation
20%  HR Services
20%  Business Consulting
","$5,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/seventeams-consulting","office@seventeams.com","+38 (050) 370-30-56"
"SurroundBG","Digital Agency, WordPress, Laravel and SEO Experts","5.0","1 review","https://surround-bg.com","SurroundBG is located in Sofia, Bulgaria. They specialize in web and software development services.","15%  Web Development
25%  Custom Software Development
15%  Search Engine Optimization
10%  IT Strategy Consulting
10%  Pay Per Click
10%  Social Media Marketing
5%  Advertising
5%  Other Design
5%  Web Design
","$5,000+","$50 - $99 / hr","Sofia, Bulgaria","https://clutch.co/profile/surroundbg","contact@surround-bg.com","+359898864038"
"DEV-3","Web and mobile development","5.0","1 review","https://dev-3.com/","Our main office located in Ukraine, Kharkov. We also have representative office in NY...","25%  Web Development
15%  E-Commerce Development
15%  UX/UI Design
15%  Web Design
15%  Custom Software Development
10%  Mobile App Development
5%  Graphic Design
","$5,000+","$50 - $99 / hr","Kharkov, Ukraine","https://clutch.co/profile/dev-3","hello@dev-3.com","none"
"PAGEART","Development, App, UX/UI, FB & Google Ads","5.0","1 review","https://pageart.agency","We are a team of professionals, whose main goal is to create top-notch web products and get full client's conten...","15%  Web Development
20%  Custom Software Development
15%  E-Commerce Development
10%  Mobile App Development
10%  UX/UI Design
10%  Wearable App Development
10%  Web Design
5%  Search Engine Optimization
5%  Social Media Marketing
","$1,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/pageart","biuro@pageart.pl","693475813"
"Bostil",".net, ruby on rails, php, node.js","5.0","1 review","http://www.bostil.ru","Bostil is a software development company based in Belarus, ranging from simple web applications and mobile applicatio...","70%  Web Development
20%  Mobile App Development
10%  Custom Software Development
","$5,000+","< $25 / hr","Gomel, Belarus","https://clutch.co/profile/bostil","office@bostil.ru","+375 (29) 140-4873"
"PerceptionBox","Your technology partner","5.0","1 review","http://perceptionbox.io","Perception Box is a custom software development company based in Stirling, Scotland.","30%  Web Development
10%  Application Management & Support
10%  Mobile App Development
10%  Custom Software Development
10%  HR Services
10%  Artificial Intelligence
5%  E-Commerce Development
5%  Enterprise App Modernization
5%  AR/VR Development
5%  Business Consulting
","$10,000+","$25 - $49 / hr","Ukraine","https://clutch.co/profile/perceptionbox","sales@perceptionbox.io","none"
"JLab","JLab - mobile and web development","5.0","1 review","http://jerminal.com/","A mobile and web development company. JLab specializes in iOS, Android, Windows, and Smart Watch applications. Past work includes Europa Plus, Shopotam, and MTC.","30%  Web Development
30%  Mobile App Development
10%  E-Commerce Development
10%  Custom Software Development
5%  Digital Strategy
5%  Marketing Strategy
5%  UX/UI Design
5%  Web Design
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/jlab","idea@jerminal.com","none"
"Junto Solutions LLC","Design, Web & Mobile Development","5.0","1 review","http://juntoteam.com/","Junto is located in Moscow, Russia. They specialize in UI/UX design in addition to web and app development services.","25%  Web Development
20%  Mobile App Development
15%  Web Design
10%  Branding
10%  UX/UI Design
10%  Custom Software Development
10%  Artificial Intelligence
","$10,000+","$25 - $49 / hr","Moscow, Russia","https://clutch.co/profile/junto-solutions","sales@juntoteam.com","+7.999.713.5966"
"Fogstream","software & electronics development","5.0","1 review","http://fogstream.company","FogStream is a full stack software engineering team with intense experience in trendy frameworks (ReactJS, React.Nati...","50%  Web Development
10%  E-Commerce Development
10%  Enterprise App Modernization
10%  Mobile App Development
10%  Custom Software Development
5%  IoT Development
5%  Blockchain
","$25,000+","$25 - $49 / hr","Khabarovsk, Russia","https://clutch.co/profile/fogstream","org@fogstream.company","+7 (4212) 20-79-81"
"FIT Information Technologies","Web & Software Development","5.0","1 review","https://fit-limited.com/","FIT provides team augmentation, develops information systems, and creates custom applications and software for all types of businesses.","65%  Web Development
20%  E-Commerce Development
10%  Custom Software Development
5%  Web Design
","$1,000+","< $25 / hr","Minsk, Belarus","https://clutch.co/profile/fit-information-technologies","fitinfotechnologies@gmail.com","+375292321442"
"Galaxy-IT","Web-Developers","5.0","1 review","http://galaxy-it.net","Full-cycle Web-Development...","80%  Web Development
10%  E-Commerce Development
10%  Custom Software Development
","$1,000+","< $25 / hr","Khmelnytskyi, Ukraine","https://clutch.co/profile/galaxy-it","sales@galaxy-it.net","none"
"EaZySoft","Full-stack web development team for your business","5.0","1 review","https://eazysoft.solutions","EaZySoft is an outsourcing IT company, which provides solutions for fintech, healthcare and e-commerce industry...","50%  Web Development
20%  E-Commerce Development
10%  Cloud Consulting & SI
10%  Mobile App Development
10%  Custom Software Development
","$1,000+","$25 - $49 / hr","Cherkasy, Ukraine","https://clutch.co/profile/eazysoft","sales@eazysoft.info","+380632962224"
"Vialutions Sp. z o.o.","The SharePoint Experts","5.0","1 review","http://www.vialutions.com","Vialutions is an expert IT company focused on helping customers become more tech savy and better users of technical services like SharePoint.","30%  Custom Software Development
20%  Digital Strategy
10%  Application Management & Support
10%  Application Testing
10%  Enterprise App Modernization
5%  IT Strategy Consulting
5%  Productivity, Collaboration & UC Consulting and SI
2%  CRM Consulting and SI
2%  ECM Consulting and SI
2%  ERP Consulting and SI
2%  IT Managed Services
2%  Other IT Consulting and SI
","$1,000+","$50 - $99 / hr","Wrocław, Poland","https://clutch.co/profile/vialutions-sp-z-oo","office@vialutions.com","+48690990044"
"Cobalt Sign","App Design & Development","5.0","1 review","https://www.cobaltsign.com/","Established in 2011, Cobalt Sign is a mobile app development shop focused on creating high-quality apps for iOS, Andr...","10%  Web Development
70%  Mobile App Development
20%  Custom Software Development
","$5,000+","$25 - $49 / hr","Timisoara, Romania","https://clutch.co/profile/cobalt-sign","we@cobaltsign.com","+40 721 843 186"
"Evolve IT Consulting","We design, build and implement software solutions","5.0","1 review","http://www.evolve-consultants.co.uk","Evolve IT Consulting is a bespoke software development company and IT consulant. Based in the UK, they were founded in 2007.","10%  Web Development
20%  Custom Software Development
20%  Enterprise App Modernization
10%  IT Strategy Consulting
10%  Mobile App Development
10%  Other IT Consulting and SI
10%  UX/UI Design
10%  Product Design
","$25,000+","$100 - $149 / hr","Kyiv, Ukraine","https://clutch.co/profile/evolve-it-consulting","enquiries@evolve-consultants.co.uk","none"
"Grinn","Electronic design for a smarter world","5.0","1 review","https://grinn-global.com/","GRINN is a team of engineering specialists that devises, designs and develops solutions for the IoT.","40%  Product Design
30%  Custom Software Development
20%  IT Managed Services
10%  IT Strategy Consulting
","$10,000+","$50 - $99 / hr","Wroclaw, Poland","https://clutch.co/profile/grinn","m.zelek@grinn-global.com","+48 500 834 252"
"Front Desk Helpers Co","Boost your revenue immediately","5.0","1 review","https://fdh.cloud/","FDH provides trained customer service representatives that assist in 24/7 sales and online web customer service.","25%  IoT Development
25%  Custom Software Development
15%  Non-Voice BPO/Back Office Services
15%  Voice Services
10%  Staff Augmentation
10%  HR Services
","Undisclosed","Undisclosed","Ukraine","https://clutch.co/profile/front-desk-helpers-co","sales@frontdeskhelpers.com","none"
"Loftymote","Your mobile development partner","5.0","1 review","https://www.loftymote.com","Loftymote specializes in iOS and Android mobile app dev...","30%  Web Development
30%  Mobile App Development
10%  Application Testing
10%  IoT Development
10%  Wearable App Development
10%  Custom Software Development
","$25,000+","$100 - $149 / hr","Romania","https://clutch.co/profile/loftymote","ovidiu.voda@loftymote.com","none"
"Zwellio","skills and passion into creating a digital product","5.0","1 review","https://zwellio.com","Zwellio is a full-service creative agency, busy building beautiful apps, designs, and digital experiences.","60%  Web Development
20%  Mobile App Development
10%  Web Design
10%  Custom Software Development
","$10,000+","$25 - $49 / hr","Cluj-Napoca, Romania","https://clutch.co/profile/zwellio","admin@zwellio.com","+40756952017"
"Software AG","Unleash your digital vision.","5.0","1 review","http://www2.softwareag.com/","Software AG us a IT consulting company providing digital transformation and support services to many Global 2000 companies.","40%  IT Strategy Consulting
30%  IT Managed Services
20%  Custom Software Development
10%  Staff Augmentation
","$10,000+","$50 - $99 / hr","Sofia , Bulgaria","https://clutch.co/profile/software-ag","contactus@softwareag.com","+359 2 915 36-00"
"eZ Systems","Make Your Work Smarter and Your Work Simpler","5.0","1 review","https://ez.no/","EZ Systems is a global content platform provider based in Norway. They offer digital marketing, content management, consultation, support and maintenance. They worked with Harvard Kennedy School and Austrian Mint.","25%  Web Development
25%  Cloud Consulting & SI
25%  Mobile App Development
15%  E-Commerce Development
10%  Social Media Marketing
","$10,000+","$100 - $149 / hr","Katowice, Poland","https://clutch.co/profile/ez-systems","info.fr@ez.no","+48.32.785.05.50"
"Data Monsters","Magic Land of Data Science and Engineering","5.0","1 review","https://datamonsters.com/","Data Monsters, a Palo Alto-based R&D lab and consulting company, provides professional services with AI and Real-time Big Data, formed in 2015.","50%  BI & Big Data Consulting & SI
25%  Custom Software Development
25%  Artificial Intelligence
","$10,000+","$100 - $149 / hr","Russia","https://clutch.co/profile/data-monsters","info.fr@ez.no","none"
"Glyanec.net","Drupal, develop, design","5.0","1 review","https://glyanec.net","Web-studio Glyanec.net is a team of professionals in Ukraine...","50%  Web Development
30%  E-Commerce Development
20%  Web Design
","$1,000+","< $25 / hr","Vinnitsya, Ukraine","https://clutch.co/profile/glyanecnet","order@glyanec.net","+380443830069"
"Codee","Web Development company","5.0","1 review","https://iamcodee.co/","Codee is a small Polish web development house. They specialize in WordPress development and website audits.","80%  Web Development
10%  Application Management & Support
10%  Custom Software Development
","$1,000+","$25 - $49 / hr","Wrocław, Poland","https://clutch.co/profile/codee","chris@iamcodee.co","+48501155812"
"iDevTeam","Full-stack web development team","5.0","1 review","https://idevteam.net","A software house. iDev specializes in systems, applications, APIs, websites, eCommerce, hosting, and SEO.","30%  Web Development
10%  E-Commerce Development
10%  Search Engine Optimization
10%  Custom Software Development
10%  Artificial Intelligence
5%  Application Management & Support
5%  Application Testing
5%  IoT Development
5%  Mobile App Development
5%  Web Design
5%  Blockchain
","$5,000+","$25 - $49 / hr","Poland","https://clutch.co/profile/idevteam","contact@idevteam.net","none"
"Digiray","Idea in software","5.0","1 review","http://digiray-software.com/","Digiray is an IT company that develops web services and web applications. They're based in Ukraine.","55%  Web Development
20%  E-Commerce Development
15%  IoT Development
10%  Custom Software Development
","$1,000+","< $25 / hr","Ukraine","https://clutch.co/profile/digiray","one.quaker@gmail.com","none"
"Shvetsov Technologies","On Time, According To The Plan, Lifetime Warranty","5.0","1 review","https://shvetsov.tech/en/","We understand that it is ok for the rational person to have questions before starting the project...","50%  Web Development
10%  E-Commerce Development
10%  IoT Development
10%  Custom Software Development
10%  Artificial Intelligence
5%  Mobile App Development
5%  Wearable App Development
","$75,000+","$25 - $49 / hr","Nizhniy Novgorod, Russia","https://clutch.co/profile/shvetsov-technologies","ceo@shvetsov.tech","+79200014949"
"GRapps","Mobile & Web Apps Development","5.0","1 review","http://grapps.io","A mobile and web development company. GRapps sepcializes in Android and iOS moible apps, responsive websites, web applications.","20%  Web Development
60%  Mobile App Development
10%  IT Strategy Consulting
10%  Custom Software Development
","$50,000+","$50 - $99 / hr","Ukraine","https://clutch.co/profile/grapps","sales@grapps.io","none"
"TRIPIKA","Tripika is an Search & Digital Agency","5.0","1 review","http://www.tripika.com","Tripika is a search and digital agency leveraging audience engagement to aid your visibility and brand online.","10%  Web Development
20%  HR Services
20%  Custom Software Development
10%  Mobile App Development
10%  Search Engine Optimization
10%  UX/UI Design
10%  Web Design
5%  Graphic Design
5%  Product Design
","$1,000+","$25 - $49 / hr","Pristina, Albania","https://clutch.co/profile/tripika","hello@tripika.com","+38349633666"
"ALANIS Software","development software, computer vision technology","5.0","1 review","http://www.alanis-software.com/en/","Located in Russia, ALANIS Software specializes in custom software develoment, sytem integrations, and IT consulting.","5%  Web Development
25%  Custom Software Development
15%  Enterprise App Modernization
15%  Artificial Intelligence
10%  Productivity, Collaboration & UC Consulting and SI
10%  Wearable App Development
5%  Application Management & Support
5%  Application Testing
5%  IT Managed Services
5%  Mobile App Development
","$1,000+","$25 - $49 / hr","Novosibirsk, Russia","https://clutch.co/profile/alanis-software","denis@alanis-software.com","+79538005840"
"Appsilon Data Science","We Provide End to End Data Science Solutions","5.0","1 review","https://appsilon.com","Appsilon, founded in 2013, is a data science company. They provide services in data modelling and AI enhanced data consulting.","50%  BI & Big Data Consulting & SI
30%  Custom Software Development
20%  Artificial Intelligence
","$25,000+","$100 - $149 / hr","Warsaw, Poland","https://clutch.co/profile/appsilon-data-science","hello@appsilon.com","none"
"Webvalley Agency","Digital experience that makes people click!","5.0","1 review","http://www.webvalley.cz/","Ally with our business development team to ensure a successful digital product...","20%  Web Development
30%  Digital Strategy
30%  UX/UI Design
10%  Mobile & App Marketing
10%  Custom Software Development
","$5,000+","$50 - $99 / hr","Czech Republic","https://clutch.co/profile/webvalley-agency","we@webvalley.cz","+420 732 270 080"
"Makolab","Your Single Point for Digital Transformation","5.0","1 review","https://makolab.com","MakoLab is a digital agency solutions consultancy based in Poland.","20%  Web Development
35%  Digital Strategy
20%  Web Design
10%  Mobile App Development
5%  AR/VR Development
5%  Blockchain
5%  Artificial Intelligence
","Undisclosed","Undisclosed","Poland","https://clutch.co/profile/makolab","london@makolab.com","none"
"Salmon","Shaping Future Commerce","5.0","1 review","https://www.salmon.com","Salmon is a global consultancy founded in 1989 with operations in London, Amsterdam, New Delhi, Beijing and Melbourne. They deliver ecommerce solutions for the leading clients.","25%  Web Development
50%  E-Commerce Development
25%  Digital Strategy
","$10,000+","$150 - $199 / hr","Sofia, Bulgaria","https://clutch.co/profile/salmon","info@salmon.com","none"
"web.burza","Creating value by making people's lives easier","5.0","1 review","https://web.burza.hr","Based in Croatia, Web.Bruza is a creative and tech agency that specializes in end-to-end digital solutions.","40%  Web Development
20%  Digital Strategy
20%  UX/UI Design
20%  Web Design
","$5,000+","$100 - $149 / hr","Zagreb, Croatia","https://clutch.co/profile/webburza","web@burza.hr","+385 1 4818 408"
"Factory 16","WE CREATE USER-FRIENDLY WEB-PRODUCTS","5.0","1 review","https://factory16.by/en/","Factory 16 -- is a team of young and ambitious experts...","30%  Web Development
20%  E-Commerce Development
20%  UX/UI Design
20%  Web Design
5%  Logo
5%  Custom Software Development
","$1,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/factory-16","info@factory16.by","+375296681016"
"Redsoft Pro","Redsoft is Web&Enterprise App dev professionals","5.0","1 review","http://www.redsoft.pro","Redsoft Pro is the Web & Enterprise Apps Development company...","10%  Web Development
25%  Non-Voice BPO/Back Office Services
20%  Custom Software Development
15%  IT Managed Services
10%  E-Commerce Development
10%  IT Strategy Consulting
5%  BI & Big Data Consulting & SI
5%  Cloud Consulting & SI
","Undisclosed","$25 - $49 / hr","Belarus","https://clutch.co/profile/redsoft-pro","alexandra.dikusar@redsoft.pro","none"
"Saffron","We create quality","5.0","1 review","http://www.saffron.pl/en","Saffron is a software testing company based in Poland.","30%  Application Testing
30%  Custom Software Development
20%  IT Managed Services
10%  Cybersecurity
10%  IT Strategy Consulting
","$1,000+","$25 - $49 / hr","Gdansk, Poland","https://clutch.co/profile/saffron","info@saffron.pl","+48 500 720 120"
"Rumble Fish Blockchain Development","Blockchain, FinTech, e-commerce & Cloud Computing","5.0","1 review","https://www.rumblefishdev.com/","Rumble Fish is a Polish development company. They focus on developing for emerging technologies.","30%  Cloud Consulting & SI
30%  Custom Software Development
30%  Blockchain
10%  E-Commerce Development
","$10,000+","$25 - $49 / hr","Kraków, Poland","https://clutch.co/profile/rumble-fish-blockchain-development","hello@rumblefishdev.com","+39737455594"
"Autea","Business-oriented Angular developers.","5.0","1 review","https://autea.eu/","Our software developers help startups and digital agencies to create exceptional JavaScript-based software products t...","40%  Staff Augmentation
30%  Mobile App Development
30%  Custom Software Development
","$10,000+","$25 - $49 / hr","Gliwice, Poland","https://clutch.co/profile/autea","hello@autea.eu","+48 692 817 232"
"Aimbulance Agency","Strategic Marketing Agency","5.0","1 review","http://www.aimbulance.com/","Aimbulance Agency is a strategic marketing agency that also offers digital strategy, UX design, web development, and web design services.","30%  Web Development
30%  Web Design
20%  Social Media Marketing
20%  UX/UI Design
","$5,000+","$25 - $49 / hr","Kyiv, Ukraine","https://clutch.co/profile/aimbulance-agency","info@aimbulance.com","+380.44.303.96.91"
"StudioX","UX/UI Design, Development, Ideas","5.0","1 review","http://www.studiox.bg/en/","StudioX is a web design agency based in Sofia. Specialties include web design, web development and mobile-development. Clients include Technopolis, Vitaslim and FS Direct.","40%  Web Development
40%  UX/UI Design
10%  Branding
10%  Mobile App Development
","$10,000+","$25 - $49 / hr","Sofia, Bulgaria","https://clutch.co/profile/studiox","office@studiox.bg","+359 88 978 7073"
"Medio Interactive","Up to 42% more analytical than normal analysts","5.0","1 review","https://www.medio.cz/","Taste Medio is a digital agency based in Praga. They specializing in UX Development, Search Engine Optimization, Web Design, and Web Development.","25%  Web Development
25%  Search Engine Optimization
25%  UX/UI Design
25%  Web Design
","$1,000+","$25 - $49 / hr","Praga, Czech Republic","https://clutch.co/profile/medio-interactive","info@medio.cz","+420 604.587.824"
"WEBAKULA","WEBAKULA - WEB DEVELOPMENT, MARKETING, DESIGN","5.0","1 review","https://webakula.ua/?utm_source=clutch&utm_medium=profile","WEBAKULA is a web development agency from Ukraine","50%  Web Development
20%  Advertising
20%  Search Engine Optimization
10%  Logo
","$1,000+","$25 - $49 / hr","Kharkov, Ukraine","https://clutch.co/profile/webakula","info@webakula.ua","+380992277070"
"ERPBEL","Reliable partner in IT development and outsourcing","5.0","1 review","https://erpbel.by/?page_id=6804&lang=en","ERPBEL is a Belarus-based company whose main activities are software and IT solution architecture, design, development, and QA testing.","40%  Business Consulting
30%  Application Testing
30%  Custom Software Development
","$1,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/erpbel","info@erpbel.by","+375 (17) 285 8212"
"Alphamoon","Custom-tailored AI Solutions","5.0","1 review","https://alphamoon.ai","""Alphamoon is a Polish IT company that aims to transform various industries by helping them to introduce th...""","60%  Artificial Intelligence
30%  Custom Software Development
10%  IoT Development
","$5,000+","$50 - $99 / hr","Wrocław, Poland","https://clutch.co/profile/alphamoon","clutch@alphamoon.ai","none"
"Syject","Mobile and web development","5.0","1 review","http://syject.com","Syject specialize in Android, iOS, .NET, and web development services from their homebase of Ukraine.","20%  Web Development
20%  Mobile App Development
10%  Application Testing
10%  UX/UI Design
10%  Web Design
10%  Custom Software Development
10%  Graphic Design
5%  Logo
5%  Product Design
","$5,000+","$25 - $49 / hr","Kharkiv, Ukraine","https://clutch.co/profile/syject","info@syject.com","none"
"MoreFromIT","Clean code, great design, innovative solutions.","5.0","1 review","http://morefromit.com","""That's one small step for a man, one giant leap for software development.""","20%  Web Development
50%  Mobile App Development
10%  E-Commerce Development
10%  Custom Software Development
10%  AR/VR Development
","$5,000+","$50 - $99 / hr","Wroclaw, Poland","https://clutch.co/profile/morefromit","hello@morefromit.com","+48 575 875 005"
"Forceoft","Salesforce Consulting","5.0","1 review","http://www.forceoft.com","forceoft.com - Salesforce Consulting Company, founded in 2015 with a Salesforce Development Team located in Lviv City...","20%  Web Development
50%  CRM Consulting and SI
10%  E-Commerce Development
10%  Mobile App Development
10%  Custom Software Development
","$5,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/forceoft-consulting","sgrushai@forceoft.com","none"
"InterConsult Bulgaria","We Help You Digitize Your Business","5.0","1 review","http://www.icb.bg/","InterConsult is Bulgarian software developer and and IT consulting firm.","20%  Cloud Consulting & SI
20%  IT Managed Services
20%  IT Strategy Consulting
20%  Mobile App Development
20%  Custom Software Development
","$25,000+","Undisclosed","Sofia, Bulgaria","https://clutch.co/profile/interconsult-bulgaria","icb@icb.bg","+359 2 920 1120"
"Fresh Design","We are composed of ideas","5.0","1 review","https://freshdesign.agency","Fresh Design is a web-development agency that was founded in 2007 and specializes in high-load web-services, corporate websites and social networks.","45%  Web Development
35%  Web Design
15%  UX/UI Design
5%  Mobile App Development
","$10,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/fresh-design","n.kovalski@freshdesign.agency","+380 (44) 332 30 06"
"Owexx","Easy to trust.","5.0","1 review","http://www.owexx.com/website-creation/riga-latvia","Owexx provides services such us website development, online shop development and web design. Past work includes Bauen, ToGetFit and Ortodenta.","40%  Web Development
40%  Web Design
20%  E-Commerce Development
","$5,000+","$100 - $149 / hr","Riga, Latvia","https://clutch.co/profile/owexx","riga@owexx.lv","+371.02.003.5788"
"Synermedia","SAP, beautiful software, .net, php, saas","5.0","1 review","https://www.synermedia.pl/en/home/","Synermedia is a place where design meets innovation...","10%  Web Development
30%  Web Design
20%  Custom Software Development
10%  Enterprise App Modernization
10%  IoT Development
10%  Mobile App Development
5%  Digital Strategy
5%  Marketing Strategy
","Undisclosed","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/synermedia","m.budzynski@synermedia.pl","none"
"Webcenter.pro","Web development","5.0","1 review","https://webcenter.pro/","Synermedia is a place where design meets innovation...","20%  Web Development
20%  E-Commerce Development
10%  Search Engine Optimization
10%  UX/UI Design
10%  Web Design
5%  Content Marketing
5%  Digital Strategy
5%  Email Marketing
5%  Logo
5%  Social Media Marketing
5%  Custom Software Development
","$5,000+","$25 - $49 / hr","Saint-Petersburg, Russia","https://clutch.co/profile/webcenterpro","support@webcenter.pro","+78124243866"
"Weberry","Delivering Software for Web & Mobile","5.0","1 review","http://www.weberry.co","Made by people for whom programming is a passion Weberry is based in Poland software house. We specialize in web and mobile applications development.","10%  Web Development
25%  Custom Software Development
15%  Mobile App Development
15%  Other Application Development
10%  Application Testing
10%  Blockchain
5%  Application Management & Support
5%  UX/UI Design
5%  Web Design
","$5,000+","$25 - $49 / hr","Kraków, Poland","https://clutch.co/profile/weberry","hi@weberry.co","+48 512 759 252"
"Quantal","Custom Software Development Company","5.0","1 review","http://quantal.solutions","Quantal specialize in web, mobile, and software application development.","10%  Web Development
20%  Custom Software Development
10%  Mobile App Development
10%  UX/UI Design
10%  Web Design
5%  Application Testing
5%  E-Commerce Development
5%  Enterprise App Modernization
5%  IoT Development
5%  Wearable App Development
5%  AR/VR Development
5%  Blockchain
5%  Artificial Intelligence
","$5,000+","$25 - $49 / hr","Ukraine","https://clutch.co/profile/quantal","i.v.fastov@gmail.com","none"
"Ruft Group","Right staff can change everything","5.0","1 review","http://ruftgroup.com","Ruft Group is a creative professional team of fullstack software developers...","10%  Web Development
20%  Custom Software Development
10%  Application Testing
10%  E-Commerce Development
10%  IoT Development
10%  Mobile App Development
10%  Other Application Development
10%  Wearable App Development
10%  Artificial Intelligence
","$1,000+","< $25 / hr","Tambov, Russia","https://clutch.co/profile/ruft-group","info@ruftgroup.com","none"
"S9Y.ai","PROFESSIONAL SOFTWARE DEVELOPMENT","5.0","1 review","http://s9y.ai","Long-term partnership...","30%  Custom Software Development
30%  Mobile App Development
30%  Artificial Intelligence
10%  IoT Development
","$50,000+","$50 - $99 / hr","Plzen, Czech Republic","https://clutch.co/profile/s9yai","info@schizofreny.com","00420602304010"
"Lampyon","We Like Brands. Brands Like Lampyon.","5.0","1 review","http://www.lampyon.com/en/","Lampyon is a digital agency based in Toronto.. Specialties include web development, web design and corporate identity. Clients include Audi, Nespresso and AMEX.","30%  Web Development
35%  Social Media Marketing
35%  Web Design
","$1,000+","$25 - $49 / hr","Budapest , Hungary","https://clutch.co/profile/lampyon","info@lampyon.com","1.382.1668"
"Web Publishing House","An innovative centre of excellence","5.0","1 review","http://www.wph.bg/","Web Publishing House is a development company based in Bulgaria. WPH emphasizes quality assurance with all of its products and services.","30%  Web Development
30%  Mobile App Development
20%  IT Strategy Consulting
10%  Application Testing
10%  UX/UI Design
","$10,000+","$50 - $99 / hr","Sofia, Bulgaria","https://clutch.co/profile/web-publishing-house","office@wph.bg","+359.885.707514"
"Virtual Affairs","Moving finance forward","5.0","1 review","http://www.virtual-affairs.com","Virtual Affairs is mobile and web development firm with offices in Amsterdam and Bulgaria.","20%  Web Development
25%  UX/UI Design
25%  Mobile App Development
20%  E-Commerce Development
10%  Financial Accounting
","$10,000+","$50 - $99 / hr","Alexandrov , Bulgaria","https://clutch.co/profile/virtual-affairs","info@virtual-affairs.com","+359 2 492 7020"
"Jaws","Web Design/Development Ukraine","5.0","1 review","http://jaws.com.ua/","Jaws is a web design and development company with more than 10 years of experience in web development and internet-projects.","30%  Web Development
40%  Web Design
30%  Mobile App Development
","$5,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/jaws","hello@jaws.com.ua","097.357.17.02"
"Cbsystematics","Ukraine Software Development","5.0","1 review","http://development.cbsystematics.com/","Cbsystematics Development is a software development company that provides range of IT services all over the world...","40%  Web Development
40%  Mobile App Development
20%  Search Engine Optimization
","$5,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/cbsystematics","info@cbsystematics.com","+380.44.361.8937"
"VERSLO IDĖJŲ PARTNERIAI, UAB","Digital Marketing Solutions","5.0","1 review","https://www.vipartneriai.lt/","A digital marketing company in Vilnius specializes in Google Adwords advertising, SEO services & optimization, analytics, and website development, serving since 2007.","25%  Web Development
50%  Search Engine Optimization
25%  Advertising
","$5,000+","$100 - $149 / hr","Vilnius, Lithuania","https://clutch.co/profile/verslo-id%C4%97j%C5%B3-partneriai-uab","info@vipartneriai.lt","+370.5.205.3225"
"Lohika","Trusted development partner","5.0","1 review","http://www.lohika.com","Lohika provides software development services. They provide elite engineering teams in order to rapid scale product development.","20%  Cloud Consulting & SI
20%  IoT Development
20%  Mobile App Development
20%  Custom Software Development
20%  Blockchain
","Undisclosed","Undisclosed","Ukraine, Ukraine","https://clutch.co/profile/lohika","info@lohika.com","none"
"Morizo","Fabulous and functional sites","5.0","1 review","http://morizo.ru/","Morizo is a marketing studio that works with important business like Red Bull, Bacardi, Cisco, Home Credit Bank, World Class and lots of Russian companies that operate both locally and nationwide.","25%  Web Development
25%  E-Commerce Development
25%  Mobile App Development
25%  Web Design
","$10,000+","$150 - $199 / hr","Moscow, Russia","https://clutch.co/profile/morizo","info@morizo.ru","+7 831.437.6515"
"Massimo Filippi, s.r.o.","Prague Digital Agency","5.0","1 review","http://www.mfcc.cz/","Massimo Filippi, s.r.o. is an advertising agency based in Prague, Czech Republic. They offer Websites, Mobile Apps, Social Networks, Digital Marketing, Graphic Design, Brand Development, and Software Development.","25%  Web Development
25%  Marketing Strategy
25%  Mobile & App Marketing
25%  Graphic Design
","$5,000+","$100 - $149 / hr","Prague 7, Czech Republic","https://clutch.co/profile/massimo-filippi-sro","we@mfcc.cz","+420.777.261.321"
"Ackee","We are the experts","5.0","1 review","https://www.ackee.cz/en","Ackee is a Prague-based software company. They focus on Mobile Applications Development, Web Development, Big Data analysis, iOS, Android, Big Data, Windows Phone, Backends, Augmented Reality, Unix, React, d3.js, and node.js.","40%  Web Development
30%  Mobile & App Marketing
30%  AR/VR Development
","$5,000+","$100 - $149 / hr","Prague 8, Czech Republic","https://clutch.co/profile/ackee","info@ackee.cz","+420.604.762.266"
"Blueberry","We create thriving digital worlds","5.0","1 review","https://www.blueberry.io","Blueberry is a design, development, and marketing firm that specializes in building tailor-made React-based web and mobile apps.","30%  Web Development
30%  Mobile App Development
20%  UX/UI Design
20%  Web Design
","$10,000+","$50 - $99 / hr","Prague, Czech Republic","https://clutch.co/profile/blueberry-digital","hi@blueberry.io","+420 246 063 462"
